air_store_id,train_days,test_days,seasonal_naive_rmsle,arimax_rmsle,seasonal_naive_rmse_log,arimax_rmse_log,seasonal_naive_mape,arimax_mape,arimax_aic,arimax_status,air_genre_name,air_area_name,delta_rmsle
air_1408dd53f31a8a65,257,39,0.749572778880071,0.7290322026654673,0.749572778880071,0.7290322026654673,109.35060262914358,49.51614885761334,366.9514318621475,ARIMAX,Izakaya,Hokkaidō Asahikawa-shi 6 Jōdōri,0.0205405762146037
air_142e78ba7001da9c,438,39,0.7819655778310481,0.8526597138327414,0.7819655778310481,0.8526597138327414,115.82130832130831,66.52196486774044,878.9162471637609,ARIMAX,Italian/French,Hyōgo-ken Nishinomiya-shi Rokutanjichō,-0.07069413600169328
air_1509881b22965b34,436,38,1.8405829813981862,1.4655500730713351,1.8405829813981862,1.4655500730713351,582.1672779359759,290.65622309879836,1286.259423095032,ARIMAX,Italian/French,Tōkyō-to Chūō-ku Tsukiji,0.3750329083268511
air_152c1f08d7d20e07,257,39,1.2771516114124233,1.0034111363306584,1.2771516114124233,1.0034111363306584,233.9691373112426,125.80512321226134,706.9069742127706,ARIMAX,Izakaya,Hiroshima-ken Hiroshima-shi Nagarekawachō,0.2737404750817649
air_15ae33469e9ea2dd,257,39,1.3722523266352722,0.6449886901119768,1.3722523266352722,0.6449886901119768,67.04212738828123,47.75139052141766,654.6108124785322,ARIMAX,Dining bar,Tōkyō-to Shinjuku-ku Kabukichō,0.7272636365232954
air_15e6e15c7ea2c162,257,39,0.5883545418531757,0.49395340060556464,0.5883545418531757,0.49395340060556464,74.26845287213709,50.267314585821296,466.38150261397107,ARIMAX,Dining bar,Tōkyō-to Minato-ku Akasaka,0.09440114124761106
air_16179d43b6ee5fd8,257,39,1.277114911410703,1.0802534599116216,1.277114911410703,1.0802534599116216,260.482762586835,188.87964065143473,653.5749893760756,ARIMAX,Cafe/Sweets,Tōkyō-to Meguro-ku Kamimeguro,0.1968614514990814
air_1653a6c513865af3,438,39,1.0889470493202047,1.0507969656646983,1.0889470493202047,1.0507969656646983,222.3634145802876,209.51706345184414,1265.081545499137,ARIMAX,Yakiniku/Korean food,Hokkaidō Abashiri-shi Minami 6 Jōhigashi,0.03815008365550643
air_168441ada3e878e1,257,39,0.637925626585795,0.5490190866667451,0.637925626585795,0.5490190866667451,102.0648663661086,70.42460756774784,399.4856122993208,ARIMAX,Cafe/Sweets,Hyōgo-ken Kōbe-shi Sumiyoshi Higashimachi,0.08890653991904984
air_16c4cfddeb2cf69b,194,39,0.6607029558942995,0.46073151774761273,0.6607029558942995,0.46073151774761273,73.29925740962304,58.49431974083837,320.8273648942071,ARIMAX,Dining bar,Ōsaka-fu Ōsaka-shi Ōgimachi,0.19997143814668678
air_16cf0a73233896de,433,39,0.9728211181901497,0.6903816013381802,0.9728211181901497,0.6903816013381802,117.76544136272642,72.95996972368656,927.2076980676125,ARIMAX,Bar/Cocktail,Fukuoka-ken Fukuoka-shi Daimyō,0.28243951685196955
air_1707a3f18bb0da07,257,39,0.847632348994015,1.6908501973309855,0.847632348994015,1.6908535208992792,89.18940252846306,65.78151536103273,609.0609828219303,ARIMAX,Izakaya,Hiroshima-ken Hiroshima-shi Kokutaijimachi,-0.8432178483369706
