air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,arimax_holiday_weekend_rmsle,arimax_holiday_weekend_rmse_log,arimax_holiday_weekend_mape,arimax_holiday_weekend_aic,arimax_holiday_weekend_status,arimax_golden_week_only_rmsle,arimax_golden_week_only_rmse_log,arimax_golden_week_only_mape,arimax_golden_week_only_aic,arimax_golden_week_only_status,arimax_reservation_only_rmsle,arimax_reservation_only_rmse_log,arimax_reservation_only_mape,arimax_reservation_only_aic,arimax_reservation_only_status,arimax_full_rmsle,arimax_full_rmse_log,arimax_full_mape,arimax_full_aic,arimax_full_status,air_genre_name,air_area_name,delta_sarima_vs_naive,delta_arimax_vs_naive,delta_arimax_vs_sarima
air_23ee674e91469086,436,39,0.9374124722460556,0.9374124722460556,203.80846891172948,0.6593762706333913,0.6593762706333913,106.80152678810721,640.698471968288,SARIMA no exog,0.6454952741331432,0.6454952741331432,102.62948559765763,641.6782828585136,ARIMAX holiday only,0.645491262372254,0.645491262372254,102.62826436632369,643.6782825238022,ARIMAX holiday + weekend,0.6518879391407069,0.6518879391407069,104.13116501834467,640.3590422642478,ARIMAX Golden Week only,0.6594547835605926,0.6594547835605926,106.82858183065262,642.6984797197385,ARIMAX reservation only,0.6417345103386375,0.6417345103386375,101.0295518210776,645.8886184128921,ARIMAX full,Cafe/Sweets,Tōkyō-to Koganei-shi Honchō,0.2780362016126643,0.29567796190741813,0.01764176029475384
air_671b4bea84dafb67,435,39,0.6635120296269751,0.6635120296269751,107.17129834115198,0.6899757848106025,0.6899757848106025,94.49785755472291,643.2123668906011,SARIMA no exog,0.6973161518264298,0.6973161518264298,95.20130258154595,639.1228275525975,ARIMAX holiday only,0.697316265341043,0.697316265341043,95.20129774691756,641.1228275551089,ARIMAX holiday + weekend,0.690394532187952,0.690394532187952,94.53438725005861,645.0773774450681,ARIMAX Golden Week only,0.6899761146422553,0.6899761146422553,94.49787699133992,645.2123668952139,ARIMAX reservation only,0.6971239662113888,0.6971239662113888,95.19613958895835,645.0924844040733,ARIMAX full,Japanese food,Tōkyō-to Minato-ku Shibakōen,-0.026463755183627424,-0.03361193658441375,-0.007148181400786324
air_9241121af22ff1d6,435,39,0.6039395880589966,0.6039395880589966,71.19406324971902,0.5189761666731503,0.5189761666731503,45.89667981589663,650.0946420537208,SARIMA no exog,0.5176058227032718,0.5176058227032718,45.90409661464571,651.8918749625459,ARIMAX holiday only,0.5176056978946829,0.5176056978946829,45.90409013465718,653.8918749565055,ARIMAX holiday + weekend,0.5188960005554943,0.5188960005554943,45.900243310829424,651.1953744926659,ARIMAX Golden Week only,0.5184007318962749,0.5184007318962749,46.314388159534715,645.71867323672,ARIMAX reservation only,0.5403850628725666,0.5403850628725666,47.790493909737165,648.305181796531,ARIMAX full,Izakaya,Tōkyō-to Katsushika-ku Tateishi,0.08496342138584634,0.06355452518643001,-0.021408896199416327
air_c31472d14e29cee8,439,39,1.2881514399196137,1.2881514399196137,188.53170796609712,0.4681921095648569,0.4681921095648569,49.06616741689279,740.7433973319072,SARIMA no exog,0.47311087237671673,0.47311087237671673,49.94409452005446,741.6564289504315,ARIMAX holiday only,0.47311040444474084,0.47311040444474084,49.9444792677832,743.6564293644026,ARIMAX holiday + weekend,0.4679287215810063,0.4679287215810063,49.32562945953116,737.6762096495706,ARIMAX Golden Week only,0.4681951627844738,0.4681951627844738,49.06592984821968,742.7433992287117,ARIMAX reservation only,0.47749571273850977,0.47749571273850977,50.97936046675377,740.3805655777613,ARIMAX full,Cafe/Sweets,Fukuoka-ken Fukuoka-shi Daimyō,0.8199593303547568,0.8106557271811039,-0.009303603173652863
air_6cbe54f0aa30b615,436,39,0.6376610397465435,0.6376610397465435,56.78323940339145,0.5204529661170403,0.5204529661170403,45.43262689051517,881.7116623576533,SARIMA no exog,0.5157741057491115,0.5157741057491115,44.68728069166258,882.5981957826932,ARIMAX holiday only,0.5167453834634128,0.5167453834634128,44.83665643056325,884.6562207290704,ARIMAX holiday + weekend,0.5196844710781628,0.5196844710781628,45.85857761082918,882.1538897558098,ARIMAX Golden Week only,0.5664854886223213,0.5664854886223213,40.68457699286239,880.142114373398,ARIMAX reservation only,0.5578936164104414,0.5578936164104414,39.71907783247812,882.843732760346,ARIMAX full,Italian/French,Tōkyō-to Shinjuku-ku Kabukichō,0.11720807362950325,0.0797674233361021,-0.037440650293401156
air_77488fa378cf98c3,436,39,1.1120610037096017,1.1120610037096017,97.5955539767757,0.6660413733415314,0.6660413733415314,91.40686149602487,748.3208874265831,SARIMA no exog,0.6726986217564586,0.6726986217564586,92.73171245791694,751.9109039367448,ARIMAX holiday only,0.6726983601054403,0.6726983601054403,92.73165062792492,753.910904141816,ARIMAX holiday + weekend,0.6712253060367122,0.6712253060367122,92.09420356136746,752.5613068030516,ARIMAX Golden Week only,0.6660413479954732,0.6660413479954732,91.40679749692066,750.3208871404893,ARIMAX reservation only,0.6734702206805591,0.6734702206805591,92.89254893874474,756.9310354964158,ARIMAX full,Other,Tōkyō-to Suginami-ku Asagayaminami,0.44601963036807035,0.43859078302904264,-0.007428847339027711
air_a1fe8c588c8d2f30,436,39,0.9268460388843863,0.9268460388843863,89.21296886491811,0.8335726150490518,0.8335726150490518,102.47969422172328,896.451546825908,SARIMA no exog,0.8153834906598122,0.8153834906598122,99.52406599447824,877.3461619855907,ARIMAX holiday only,0.8153912942327279,0.8153912942327279,99.52402922916647,879.3461535858619,ARIMAX holiday + weekend,0.8340089425662643,0.8340089425662643,101.51658305420095,896.0848436490922,ARIMAX Golden Week only,0.8335711725071097,0.8335711725071097,102.47974616992006,898.4515856005553,ARIMAX reservation only,0.8163803744063745,0.8163803744063745,99.13590359829311,882.8617475916951,ARIMAX full,Bar/Cocktail,Fukuoka-ken Fukuoka-shi Daimyō,0.09327342383533455,0.11046566447801187,0.017192240642677326
air_a38f25e3399d1b25,436,39,1.1926501304574686,1.1926501304574686,268.1020207258926,0.9384517332715202,0.9384517332715202,128.32730413843595,1035.4129129868732,SARIMA no exog,0.9308191898887859,0.9308191898887859,131.839081578429,1010.0551580112724,ARIMAX holiday only,0.9308191717302164,0.9308191717302164,131.8390776519608,1012.0551580177444,ARIMAX holiday + weekend,0.9382815550715481,0.9382815550715481,128.46606184000868,1035.333412818749,ARIMAX Golden Week only,1.1068844575276984,1.1068844575276984,101.80302074931389,1002.6683032338057,ARIMAX reservation only,1.0822021141960312,1.0822021141960312,105.17199732772696,985.8559045573081,ARIMAX full,Izakaya,Tōkyō-to Chiyoda-ku Kudanminami,0.2541983971859484,0.11044801626143741,-0.14375038092451098
air_b1d822f75c9fc615,436,39,1.5659638739434085,1.5659638739434085,556.6698186990199,1.305560210967083,1.305560210967083,367.05731691420726,884.2968568685721,SARIMA no exog,1.307944541120569,1.307944541120569,373.06100507305075,882.1482900851274,ARIMAX holiday only,1.3079512521539352,1.3079512521539352,373.0657374520154,884.1482899944223,ARIMAX holiday + weekend,1.2841969242603768,1.2841969242603768,351.96601759644193,879.0838575599087,ARIMAX Golden Week only,1.3055602076855826,1.3055602076855826,367.0573147591298,886.2968568687531,ARIMAX reservation only,1.3083822832291205,1.3083822832291205,372.6784484722489,886.8544376566156,ARIMAX full,Cafe/Sweets,Tōkyō-to Toshima-ku Higashiikebukuro,0.26040366297632556,0.257581590714288,-0.002822072262037567
air_ef789667e2e6fe96,436,39,0.8881417187366625,0.8881417187366625,93.36842946120314,0.3899289163853142,0.3899289163853142,29.97635875133818,845.3099114331535,SARIMA no exog,0.3902406058589382,0.3902406058589382,30.916664146541695,842.3547518667932,ARIMAX holiday only,0.39026602964026463,0.39026602964026463,30.92545702805835,844.3550296463998,ARIMAX holiday + weekend,0.3893614195137733,0.3893614195137733,30.043903840348957,845.6910124453033,ARIMAX Golden Week only,0.37271216121653516,0.37271216121653516,33.548666074801055,824.656433992619,ARIMAX reservation only,0.3749195526776669,0.3749195526776669,34.7818458138182,824.9522943123695,ARIMAX full,Dining bar,Tōkyō-to Machida-shi Morino,0.4982128023513483,0.5132221660589955,0.015009363707647272
