air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,air_genre_name,air_area_name
air_25e9888d30b386df,435,39,1.0574870991649823,1.0574870991649823,155.50366300366298,0.8136900367973179,0.8150993712400183,65.43567290560318,1012.6015325084552,SARIMA no exog,0.8135699045867762,0.8153774767331602,65.66130006284237,1014.1477383187034,ARIMAX holiday only,Izakaya,Tōkyō-to Shinagawa-ku Higashigotanda
air_7cc17a324ae5c7dc,439,39,1.3862025597851468,1.3862025597851468,289.74237202371364,1.0579232685418918,1.0579232685418918,87.62588262453022,1190.7786826572028,SARIMA no exog,0.9897443878054224,0.9897443878054224,84.0761143499158,1155.1006536430145,ARIMAX holiday only,Italian/French,Hyōgo-ken Kōbe-shi Kumoidōri
air_c759b6abeb552160,417,39,1.2919500963274095,1.2919500963274095,228.75953653043427,1.0687031793701558,1.0687031793701558,150.77729333984573,1143.2095621880403,SARIMA no exog,1.0742268768434056,1.0742268768434056,147.27497773586342,1137.0480563849856,ARIMAX holiday only,Bar/Cocktail,Hokkaidō Asahikawa-shi 6 Jōdōri
air_d0a7bd3339c3d12a,439,33,1.693759226864585,1.693759226864585,608.3427625962855,1.532978479736884,1.532978479736884,391.0241188568965,968.6290230999157,SARIMA no exog,1.5610521734868334,1.5610521734868334,424.1827410331112,954.9136062019033,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Taitō-ku Higashiueno
air_401b39f97e56b939,434,38,1.4617209356776657,1.4617209356776657,219.69736885966316,0.9531931752249061,0.9531931752249061,115.43982164570312,1224.1278169401412,SARIMA no exog,0.9386489738915994,0.9386489738915994,109.274340958157,1212.0558726483355,ARIMAX holiday only,Cafe/Sweets,Ōsaka-fu Ōsaka-shi Ōgimachi
air_a9133955abccf071,322,39,0.794712636301056,0.794712636301056,75.23339844863847,0.5343932542280667,0.5343932542280667,61.25313250474852,663.6806391891664,SARIMA no exog,0.5393746719165323,0.5393746719165323,62.23802731465584,665.0514528423469,ARIMAX holiday only,Yakiniku/Korean food,Hokkaidō Sapporo-shi Atsubetsuchūō 1 Jō
air_54ed43163b7596c4,436,38,0.5801202807859424,0.5801202807859424,68.46756194592022,0.5560350361016521,0.5560350361016521,57.78792784635618,980.0632624628265,SARIMA no exog,0.4482045907291479,0.4482045907291479,45.36869596199786,742.7505805149488,ARIMAX holiday only,Izakaya,Tōkyō-to Chūō-ku Tsukiji
air_17bed6dbf7c8b0fc,432,38,1.4548520760318937,1.4548520760318937,471.63315253910525,1.2613860744271281,1.261395114661061,290.52320141826493,931.943455087589,SARIMA no exog,1.2571692251489437,1.2573830970511375,286.7445809696551,932.1150859614738,ARIMAX holiday only,Cafe/Sweets,Niigata-ken Kashiwazaki-shi Chūōchō
air_7bc6ca04d7b0f3b8,436,39,1.1905650362888276,1.1905650362888276,28.205128205128204,1.1905650362888276,1.6154550704172674,58.34218208412002,1178.4072664049452,SARIMA no exog,1.1905650362888276,1.4336467392336945,46.491148012801034,1100.6670402913192,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Shibuya-ku Shibuya
air_8764b3473ddcceaf,432,39,1.2252165850188248,1.2252165850188248,89.0842490842491,0.7812548064195703,0.7812548064195703,70.32403263739559,1187.565103805528,SARIMA no exog,0.7833423705162929,0.7833423705162929,69.9709023922656,1185.1660172271945,ARIMAX holiday only,Bar/Cocktail,Tōkyō-to Shibuya-ku Shibuya
air_9d3482b4680aee88,435,39,0.99650822746106,0.99650822746106,152.18813593813593,0.9961167143946502,0.9961167143946502,153.97649359346048,1051.7744974421933,SARIMA no exog,0.9692346566895427,0.9692346566895427,152.10563888228202,1044.3358757862654,ARIMAX holiday only,Cafe/Sweets,Tōkyō-to Suginami-ku Asagayaminami
