air_store_id,train_days,test_days,seasonal_naive_rmsle,seasonal_naive_rmse_log,seasonal_naive_mape,sarima_no_exog_rmsle,sarima_no_exog_rmse_log,sarima_no_exog_mape,sarima_no_exog_aic,sarima_no_exog_status,arimax_holiday_only_rmsle,arimax_holiday_only_rmse_log,arimax_holiday_only_mape,arimax_holiday_only_aic,arimax_holiday_only_status,air_genre_name,air_area_name,delta_sarima_vs_naive,delta_holiday_arimax_vs_naive,delta_holiday_arimax_vs_sarima
air_640cf4835f0d9ba3,436,39,0.9445784827493143,0.9445784827493143,58.18184565873283,0.5044055769969993,0.5044055769969993,46.53751040193876,834.6694313114951,SARIMA no exog,0.5135800842694631,0.5135800842694631,46.815078067164976,831.517420806925,SARIMAX holiday only,Izakaya,Tōkyō-to Ōta-ku Kamata,0.44017290575231505,0.4309983984798512,-0.009174507272463828
air_8c119d1f16049f20,436,39,0.6203180835326343,0.6203180835326343,82.10162267354386,0.48415971877810565,0.48415971877810565,55.10991482049901,438.9554172242815,SARIMA no exog,0.4820378089190228,0.4820378089190228,54.75257176437355,440.70250066072174,SARIMAX holiday only,Cafe/Sweets,Tōkyō-to Shinjuku-ku Kabukichō,0.13615836475452864,0.13828027461361148,0.002121909859082838
air_f6b2489ccf873c3b,436,39,0.3387004185328204,0.3387004185328204,32.01886061082608,0.23602362283656622,0.23602362283656622,21.51000821508245,404.5158488859015,SARIMA no exog,0.2391526665764243,0.2391526665764243,22.07908788867617,394.0549104872458,SARIMAX holiday only,Bar/Cocktail,Tōkyō-to Chūō-ku Tsukiji,0.10267679569625418,0.09954775195639609,-0.0031290437398580895
air_383f5b2f8d345a49,438,39,0.6792142472638804,0.6792142472638804,49.26082851594876,0.5815401516419585,0.5815401516419585,54.238913986075765,719.774430531362,SARIMA no exog,0.5702602179183887,0.5702602179183887,54.261903118032485,718.6671243137245,SARIMAX holiday only,Dining bar,Tōkyō-to Setagaya-ku Setagaya,0.09767409562192186,0.1089540293454917,0.011279933723569835
air_93ebe490d4abb8e9,436,39,0.5925152852152131,0.5925152852152131,77.21017005249621,0.5876046270894428,0.5876046270894428,80.62701878097064,722.4449460846633,SARIMA no exog,0.5977766412902616,0.5977766412902616,85.03324948125913,707.6430440794063,SARIMAX holiday only,Bar/Cocktail,Tōkyō-to Shinjuku-ku Nishishinjuku,0.004910658125770295,-0.005261356075048518,-0.010172014200818813
air_4d71826793c09b22,435,39,0.3410543499792496,0.3410543499792496,30.14681044387877,0.19083392619896733,0.19083392619896733,13.741301314587338,304.99503541350305,SARIMA no exog,0.1885642665692372,0.1885642665692372,13.685544267299111,306.8895991950864,SARIMAX holiday only,Japanese food,Tōkyō-to Minato-ku Shibakōen,0.15022042378028228,0.1524900834100124,0.0022696596297301364
air_05c325d315cc17f5,439,39,0.481554034562547,0.481554034562547,41.564127453257925,0.3492853955971914,0.3492853955971914,26.49761185089049,689.9895627298112,SARIMA no exog,0.34466599722317776,0.34466599722317776,25.72072839361849,685.961217891441,SARIMAX holiday only,Izakaya,Fukuoka-ken Fukuoka-shi Daimyō,0.13226863896535557,0.13688803733936922,0.00461939837401365
air_1e665503b8474c55,438,39,0.6615906330265193,0.6615906330265193,86.25682721836566,0.5076791192515204,0.5076791192515204,66.08900089818344,819.5091532909707,SARIMA no exog,0.509436276615436,0.509436276615436,65.63083887960653,820.3032909751972,SARIMAX holiday only,Dining bar,Fukuoka-ken Fukuoka-shi Daimyō,0.1539115137749989,0.15215435641108332,-0.0017571573639155735
air_707d4b6328f2c2df,436,39,0.8838186000094831,0.8838186000094831,112.50451940882205,0.8207506648619736,0.8207506648619736,107.73662690970363,941.0284779360024,SARIMA no exog,0.8345366318195588,0.8345366318195588,111.61769439277667,926.3190353395189,SARIMAX holiday only,Dining bar,Tōkyō-to Shibuya-ku Shibuya,0.06306793514750952,0.04928196818992425,-0.013785966957585272
air_7e12c5d27f44a8de,436,39,0.3492384504434921,0.3492384504434921,34.1770279029916,0.301348477728704,0.301348477728704,27.146231319986292,630.745432807221,SARIMA no exog,0.32546458980147874,0.32546458980147874,27.277642039556227,607.9708754039884,SARIMAX holiday only,Dining bar,Tōkyō-to Setagaya-ku Setagaya,0.04788997271478812,0.023773860642013367,-0.024116112072774754
